Наименование	Код	Артикул	РодительНаименование	РодительКод
Конструктор Майворлд, 63+ деталей 12 шт.	УТ000005824	03108-кмн5	Конструкторы блочные	00000000500
Конструктор Супергерои, 344 детали, производитель lepin	УТ000005825	07117-ксж5	Конструкторы блочные	00000000500
Конструктор цветной 26 дет.	УТ000005959	6678-26	Конструкторы блочные	00000000500
Конструктор 32014	УТ000006032	32014	Конструкторы пластиковые, кубики	00000009743
Коснтруктор скелет светится в темноте	УТ000006034	18-28-1-6	Конструкторы пластиковые, кубики	00000009743
Поезд с динозавром в кор.	УТ000006036	2207Е	Конструкторы пластиковые, кубики	00000009743
Конструктор DINO в кор. в ассортименте	УТ000006049	77010-1-8	Конструкторы блочные	00000000500
Коснтрутор NINZA с динозавром 6 видов в коробке	УТ000006051	99123-1-6	Конструкторы пластиковые, кубики	00000009743
Конструктор Динозавр в кор.	УТ000006054	101-1-8СН	Конструкторы пластиковые, кубики	00000009743
Конструктор Самолет 384эл. в коробке	00000007915	5660	Конструкторы блочные	00000000500
Конструктор Вертолет 227 эл. в коробке	00000007916	5662	Конструкторы блочные	00000000500
Конструктор Танк в коробке	00000007917	5664	Конструкторы блочные	00000000500
Конструктор Военный 658 эл. в коробке	00000007918	84020	Конструкторы блочные	00000000500
Конструктор Военный Самолет 339 эл. в коробке	00000007919	84021	Конструкторы блочные	00000000500
Конструктор Корабль 897 эл. в коробке	00000007920	84029	Конструкторы блочные	00000000500
Конструктор Гладиаторы в коробке	00000007921	0874	Конструкторы блочные	00000000500
НАБОР из13 конструкторов (а807,66108,1203,801,1212,1205,802,а122,1207,828,3506жс,64213)	00000002156	1027/13	Конструкторы блочные	00000000500
Конструктор робот 6 видов в коробке. ИЗ 2шт СОБИРАЕТСЯ 1 большой!	00000003309	96	Конструкторы блочные	00000000500
Конструктор робот HERO2 3вида в коробке	00000003313	95К	Конструкторы блочные	00000000500
Конструктор полицейский участок	00000003349	110	Конструкторы блочные	00000000500
Конструктор ЗАМОК ПРИНЦЕССЫ 473эл. в кор. 46*37см	00000003362	10803	Конструкторы блочные	00000000500
Конструктор ZY Медпункт140  эл. фтолетовая коробка	00000001081	27163	Конструкторы блочные	00000000500
НАБОР из 7 конструкторов(9017жс,9019жс,803а,1011,в635525,131,2039вл)	00000001912	1295/7	Конструкторы блочные	00000000500
Конструктор ОПТИМУС робот - машина 384 эл.	00000001097		Конструкторы блочные	00000000500
Конструктор магнитный 100 дет.R6821A голубоя коробка трапеция	00000010979	23719	Конструкторы магнитные	00000002377
Конструктор магнитный 130 дет R6812C прямоугольная сиренево-голубая коробка	00000010980	36691	Конструкторы магнитные	00000002377
Конструктор магнитный 100дет. R6822А в бирюзовой коробке	00000010981	23757	Конструкторы магнитные	00000002377
Конструктор магнитный 86 дет. Кристальный R6824А в красно-черной коробке	00000010982	23801	Конструкторы магнитные	00000002377
Конструктор магнитный 42 магнита  R6820А красная коробка трапеция	00000010983	23658	Конструкторы магнитные	00000002377
