Наименование	Код	Артикул	РодительНаименование	РодительКод
"Конструктор ""ГОРОД МАСТЕРОВ"" 2-в-1 супер крылья: Донни, в кор. ВВ-1531-R"	УТ000004827	1531ВВ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Автотранспорт: Спорткар 23в1, 278 дет, в кор. DC-5528-R"	УТ000004828	5528ДС	Конструкторы блочные	00000000500
"Магнитный конструктор ""ГОРОД МАСТЕРОВ"" 8 треугольников, цвет в ассорт., в кор. ХВ-4002-R"	УТ000004830	4002ХВ	Конструкторы магнитные	00000002377
"Конструктор ""ГОРОД МАСТЕРОВ"" Качели, ""Легко собирать"" с фигуркой, в кор. АА-1854-R"	УТ000004831	1854АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Автобус ""Легко собрать"" в кор. КК-1843-R"	УТ000004832	1843КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Оборона Севастополя, с фигур., в кор. КК-7023-R"	УТ000004833	7023КК	Конструкторы блочные	00000000500
"Конструктор мал""ГОРОД МАСТЕРОВ"" Пожарная служба: Машина, 18 дет, в кор. JS-3506-R"	УТ000004834	3506ЖС	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" На рынке, ""Легко собрать"", с фигур., в кор. АА-1855-R"	УТ000004835	1855АА	Конструкторы блочные	00000000500
"Конструктор магнитный ""ГОРОД МАСТЕРОВ"" 7 деталей на блистере, в кор. DT-4020-R"	УТ000004836	4020ДТ	Конструкторы магнитные	00000002377
"Конструктор ""ГОРОД МАСТЕРОВ"" Битва за Берлин, с фигур., в кор. КК-7026-R"	УТ000004837	7026КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" БМП ""Легко собрать"" в кор. КК-1834-R"	УТ000004838	1834КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Летнее кафе с фигурк., 84 дет, в кор. АА-2010-R"	УТ000004839	2010АА	Конструкторы блочные	00000000500
"Конструктор магнитный ""ГОРОД МАСТЕРОВ"" 5 деталей на блистере, в кор. DT-4019-R"	УТ000004840	4019ДТ	Конструкторы магнитные	00000002377
"Конструктор ""ГОРОД МАСТЕРОВ"" Cfvjktn 3-в-1, ""Легко собрать"" в кор. КК-1811-R"	УТ000004841	1811КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Урал: высадка дисанта, с фигурк., 191 дет., в кор. КК-7048-R"	УТ000004842	7048КК	Конструкторы блочные	00000000500
"Магнитный конструктор ""ГОРОД МАСТЕРОВ"" Кран, 22 мини дет. на блистере, в кор. ХВ-4008-R"	УТ000004843	4008ХВ	Конструкторы магнитные	00000002377
"Конструктор ""ГОРОД МАСТЕРОВ""  ""Легко собрать"" КПП, с фигур., в кор. АА-1809-R"	УТ000004844	1809АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Танк ""Легко собрать"" в кор. КК-1803-R"	УТ000004845	1803КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Армия: Танк, 32 дет., в кор. КК-7046-R"	УТ000004846	7046КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Принцесса с пони, с фигурк., в кор. АА-2020-R"	УТ000004847	2020АА-Р	Конструкторы блочные	00000000500
"Игрушка конструктор ""ГОРОД МАСТЕРОВ"" Робот, 99 дет, цвет в ассорт., в банке в кор. BL-9006-R"	УТ000004848	9006ВЛ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Машина-Убощик, с фигур., 121 дет., в кор. КК-5019-R"	УТ000004849	5019КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Армия: Машина, 28 дет., в кор. КК-7044-R"	УТ000004850	7044КК	Конструкторы блочные	00000000500
"Магнитный конструктор ""ГОРОД МАСТЕРОВ"" 6 квадратов, цвет в ассорт., в кор. ХВ-4001-R"	УТ000004851	4001ХВ	Конструкторы магнитные	00000002377
"Конструктор ""ГОРОД МАСТЕРОВ"" Спальня Феи, с фигур., в кор. АА-2026-R"	УТ000004852	2026АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Фиксики ""Паровозик Нолика"" с фигурк., в кор. КК-1502-R"	УТ000004853	1502КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Ракетная установка ""Легко собрать"" 35 дет., в кор. КК-1825-R"	УТ000004854	1825КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Пикат с пулеметом, с фигур., в кор. UU-7018-R"	УТ000004855	7018УУ	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Кран ""Легко собрать"" 44 дет., в кор. КК-1829-R"	УТ000004856	1829КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" День рождения, ""Легко собрать"", с фигурк., в кор. АА-1846-R"	УТ000004857	1846АА	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Перевозчик с гонкой, с фигур., в кор. КК-5517-R"	УТ000004858	5517КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Армейский джип ""Легко собрать"", 61 дет., в кор. КК-1849-R"	УТ000004859	1849КК	Конструкторы блочные	00000000500
"Конструктор ""ГОРОД МАСТЕРОВ"" Арктика: Урал вахтовка, с фигурк., 97 дет., в кор. КК-2525-R"	УТ000004860	2525КК	Конструкторы блочные	00000000500
